#SMILES	StructureSource	IdentifierType	IdentifierValue
C(C)(C)(C)OC(=O)NC1CN(CCC1)C1=NC(=C(N1CC=C(C)C)C(=O)OCC)N	2-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-3-(3-methyl-2-buten-1-yl)-4-ethoxycarbonyl-5-amino-3H-imidazole	Example	X
C(#N)N=C(N1CC(CCC1)NC(=O)OC(C)(C)C)N(CC(=O)OCC)CC=C(C)C	Cyanimino-[N-(3-methyl-2-buten-1-yl)-N-(ethoxycarbonylmethyl)-amino]-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-methane	Example	XI
C(#N)N=C(OC1=CC=CC=C1)N(CC(=O)OCC)CC=C(C)C	cyanimino-[N-(3-methyl-2-buten-1-yl)-N-(ethoxycarbonylmethyl)-amino]-phenyloxy-methane	Example	XII
C(#N)N=C(OC1=CC=CC=C1)NCC(=O)OCC	cyanimino-[(ethoxycarbonylmethyl)amino]-phenyloxy-methan	Example	XIII
CN1C(=O)N(C=2N=C(N(C2C1=O)CC1=C(C=CC=C1)C#N)Cl)CC(=O)OC	1-methyl-3-[(methoxycarbonyl)methyl]-7-(2-cyano-benzyl)-8-chloro-xanthine	Example	XIV
O=C1N(CCN1)C=1C=C(C=CC1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)CC=C(C)C)N1CC(CCC1)NC(=O)OC(C)(C)C)C)=O	1-{2-[3-(2-oxo-imidazolidin-1-yl)-phenyl]-2-oxo-ethyl}-3-methyl-7-(3-methyl-2-buten-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	XIX
NC1=C(C=CC=C1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)CC#CC)N1C[C@H](CCC1)NC(=O)OC(C)(C)C)C)=O	1-[2-(2-amino-phenyl)-2-oxo-ethyl]-3-methyl-7-(2-butyn-1-yl)-8-[(S)-3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	XL
ClCC1=NC2=CC=CC=C2C(=N1)C	2-chloromethyl-4-methyl-quinazoline	Example	XLI
ClCC1=NC2=CC=CC=C2C(=N1)N(C)C	2-chloromethyl-4-dimethylamino-quinazoline	Example	XLII
C(C)OC(=O)CNC1=C(C=CC=C1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)C\C=C\C)N1CC(CCC1)NC(=O)OC(C)(C)C)C)=O	1-(2-{2-[(ethoxycarbonyl)methylamino]-phenyl}-2-oxo-ethyl)-3-methyl-7-((E)-2-buten-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	XLIII
C(#N)C=1OC2=C(C1CN1C(=O)N(C=3N=C(N(C3C1=O)CC#CC)N1CC(CCC1)NC(=O)OC(C)(C)C)C)C=CC=C2	1-[(2-cyano-benzofuran-3-yl)methyl]-3-methyl-7-(2-butyn-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	XLIV
OCC=1C=CC(=C2C=CC=NC12)OC	8-hydroxymethyl-5-methoxy-quinoline	Example	XLIX
CN1C(NC2=C1C(=CC=C2)C(CN2C(=O)N(C=1N=C(N(C1C2=O)CC#CC)N2CC(CCC2)NC(=O)OC(C)(C)C)C)=O)=O	1-[2-(3-methyl-2-oxo-2,3-dihydro-1H-benzoimidazol-4-yl)-2-oxo-ethyl]-3-methyl-7-(2-butyn-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	XLV
C(C)(=O)C1=CC=CC=2N(C(NC21)=O)C(=O)OCC	4-acetyl-1-ethoxycarbonyl-1,3-dihydro-benzoimidazol-2-one	Example	XLVI
NC1=NC(=NC2=CC=CC=C12)CN1C(=O)N(C=2N=C(N(C2C1=O)CC#CC)N1CC(CCC1)NC(=O)OC(C)(C)C)C	1-[(4-amino-quinazolin-2-yl)methyl]-3-methyl-7-(2-butyn-1-yl)-8-[3-(tert.-butyloxy-carbonylamino)-piperidin-1-yl]-xanthine	Example	XLVII
CN1C(=O)NC=2N=C(N(C2C1=O)CC1=C(C=CC=C1)C#N)Cl	1-methyl-7-(2-cyano-benzyl)-8-chloro-xanthine	Example	XV
CN1C(=O)N(C=2N=C(N(C2C1=O)CC1=C(C=CC=C1)C#N)Cl)COCC[Si](C)(C)C	1-methyl-3-[(2-trimethylsilanyl-ethoxy)methyl]-7-(2-cyano-benzyl)-8-chloro-xanthine	Example	XVI
C(#N)C1=C(CN2C=NC=3NC(NC(C23)=O)=O)C=CC=C1	7-(2-cyano-benzyl)-xanthine	Example	XVII
NC=1NC(C=2N(C=NC2N1)CC1=C(C=CC=C1)C#N)=O	2-amino-7-(2-cyano-benzyl)-1,7-dihydro-purin-6-one	Example	XVIII
ClCCNC(=O)NC=1C=C(C=CC1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)CC=C(C)C)N1CC(CCC1)NC(=O)OC(C)(C)C)C)=O	1-[2-(3-{[(2-chloro-ethylamino)carbonyl]amino}-phenyl)-2-oxo-ethyl]-3-methyl-7-(3-methyl-2-buten-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	XX
NC=1C=C(C=CC1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)CC=C(C)C)N1CC(CCC1)NC(=O)OC(C)(C)C)C)=O	1-[2-(3-amino-phenyl)-2-oxo-ethyl]-3-methyl-7-(3-methyl-2-buten-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	XXI
C(C)C(=O)NC1=C(C=CC=C1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)CC=C(C)C)N1CC(CCC1)NC(=O)OC(C)(C)C)C)=O	1-(2-{2-[(ethylcarbonyl)amino]-phenyl}-2-oxo-ethyl)-3-methyl-7-(3-methyl-2-buten-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	XXII
COC(=O)COC=1C=C(C=CC1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)CC=C(C)C)N1CC(CCC1)N)C)=O	1-(2-{3-[(methoxycarbonyl)methoxy]-phenyl}-2-oxo-ethyl)-3-methyl-7-(3-methyl-2-buten-1-yl)-8-(3-amino-piperidin-1-yl)-xanthine	Example	XXIII
CN1C(=O)N(C=2N=C(N(C2C1=O)CC1=C(C=CC=C1)C#N)Cl)C1=CC=CC=C1	1-methyl-3-phenyl-7-(2-cyano-benzyl)-8-chloro-xanthine	Example	XXIV
O=C1N(N=C(C2=CC=CC=C12)C(=O)OC)COCC[Si](C)(C)C	Methyl 4-oxo-3-[(2-trimethylsilanyl-ethoxy)methyl]-3,4-dihydro-phthalazin-1-carboxylate	Example	XXIX
C1(=CC=CC=C1)C(CN1C(=O)NC=2N=C(N(C2C1=O)CC=C(C)C)N1CC(CCC1)NC(=O)OC(C)(C)C)=O	1-(2-phenyl-2-oxo-ethyl)-7-(3-methyl-2-buten-1-yl)-8-[3-(tert.-butyloxycarbonyl-amino)-piperidin-1-yl]-xanthine	Example	XXV
OCC1=NN(C(C2=CC=CC=C12)=O)COCC[Si](C)(C)C	4-hydroxymethyl-2-[(2-trimethylsilanyl-ethoxy)methyl]-2H-phthalazin-1-one	Example	XXVIII
CS(=O)(=O)C=1C=C(C=CC1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)CC=C(C)C)N1CC(CCC1)NC(=O)OC(C)(C)C)C)=O	1-[2-(3-methanesulphonyl-phenyl)-2-oxo-ethyl]-3-methyl-7-(3-methyl-2-buten-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	XXX
C(=O)(O)C=1C=C(C=CC1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)CC=C(C)C)N1CC(CCC1)NC(=O)OC(C)(C)C)C)=O	1-[2-(3-carboxy-phenyl)-2-oxo-ethyl]-3-methyl-7-(3-methyl-2-buten-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	XXXI
CNC(=O)C=1C=C(C=CC1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)CC=C(C)C)N1CC(CCC1)NC(=O)OC(C)(C)C)C)=O	1-{2-[3-(methylaminocarbonyl)-phenyl]-2-oxo-ethyl}-3-methyl-7-(3-methyl-2-buten-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	XXXII
Cl.ClCC1=NC=C(C2=CC=CC=C12)C	1-chloromethyl-4-methyl-isoquinoline-hydrochloride	Example	XXXIII
O=C1NC(=NC2=CC=CC=C12)CN1C(=O)N(C=2N=C(N(C2C1=O)CC#CC)N1CC(CCC1)NC(=O)OC(C)(C)C)C	1-[(4-oxo-3,4-dihydro-quinazolin-2-yl)methyl]-3-methyl-7-(2-butyn-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	XXXIV
C(#N)CNC1=C(C=CC=C1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)CC=C(C)C)N1CC(CCC1)NC(=O)OC(C)(C)C)C)=O	1-[2-(2-cyanomethylamino-phenyl)-2-oxo-ethyl]-3-methyl-7-(3-methyl-2-buten-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	XXXIX
CN(C1=CC=C(C2=CC=CC=C12)CO)C	(4-dimethylamino-naphthalen-1-yl)-methanol	Example	XXXV
BrCC(=O)C1=CC=CC=2OCCOC21	2-bromo-1-(2,3-dihydro-benzo[1,4]dioxin-5-yl)-ethanone	Example	XXXVI
O1CCOC2=C1C=CC=C2C(C)=O	(2,3-dihydro-benzo[1,4]dioxin-5-yl)-ethanone	Example	XXXVII
CN1C(=NC2=CC=CC=C2C1=O)CN1C(=O)N(C=2N=C(N(C2C1=O)CC#CC)N1CC(CCC1)NC(=O)OC(C)(C)C)C	1-[(3-methyl-4-oxo-3,4-dihydro-quinazolin-2-yl)methyl]-3-methyl-7-(2-butyn-1-yl)-8-[3-(tert.-butyloxycarbonylamino)-piperidin-1-yl]-xanthine	Example	XXXVIII
CN1C(=O)N(C=2N=C(N(C2C1=O)CC1=C(C=CC=C1C#N)C#N)N1CC(CCC1)N)C	1,3-dimethyl-7-(2,6-dicyano-benzyl)-8-(3-amino-piperidin-1-yl)-xanthine	Example	1
C(C)OC(=O)COC1=C(C=CC=C1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)CC=C(C)C)N1CC(CCC1)N)C)=O	1-(2-{2-[(ethoxycarbonyl)methoxy]-phenyl}-2-oxo-ethyl)-3-methyl-7-(3-methyl-2-buten-1-yl)-8-(3-amino-piperidin-1-yl)-xanthine	Example	2
C(=O)(O)COC=1C=C(C=CC1)C(CN1C(=O)N(C=2N=C(N(C2C1=O)CC=C(C)C)N1CC(CCC1)N)C)=O	1-[2-(3-carboxymethoxy-phenyl)-2-oxo-ethyl]-3-methyl-7-(3-methyl-2-buten-1-yl)-8-(3-amino-piperidin-1-yl)-xanthine	Example	3
